epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,512.765,3.25828,3.46578,1.52222,0.0553,0.14813,0.06702,0.03084,2.29253,2.13989,1.14166,0.000237926,0.000237926,0.000237926
2,1091.93,2.28857,2.29492,1.1401,0.32033,0.11723,0.08522,0.04095,2.04537,1.86461,1.07963,0.000381693,0.000381693,0.000381693
3,1753.15,2.11387,2.07327,1.09368,0.23777,0.13724,0.10093,0.04925,1.96458,1.73859,1.05334,0.000431212,0.000431212,0.000431212
1,2262.03,2.55959,2.65373,1.49526,0.27529,0.18844,0.14228,0.07127,1.85478,1.7308,1.20427,0.000237926,0.000237926,0.000237926
1,1540.42,2.55959,2.65373,1.49526,0.27529,0.18844,0.14228,0.07127,1.85478,1.7308,1.20427,0.000237926,0.000237926,0.000237926
2,11444,1.83882,1.82175,1.17845,0.24787,0.24505,0.18293,0.09713,1.69853,1.54427,1.15263,0.000381693,0.000381693,0.000381693
3,17285.2,1.71087,1.64532,1.1364,0.28101,0.27695,0.2209,0.12092,1.58991,1.42437,1.10262,0.000431212,0.000431212,0.000431212
4,25614.9,1.627,1.50294,1.10115,0.30095,0.28135,0.24505,0.13926,1.54822,1.36005,1.09312,0.000289884,0.000289884,0.000289884
5,35722,1.58717,1.43121,1.086,0.37023,0.29655,0.27989,0.1583,1.50079,1.27408,1.07017,0.000148512,0.000148512,0.000148512
