epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.533,3.25828,3.46578,1.52222,0.0553,0.14813,0.06702,0.03084,2.29253,2.13989,1.14166,0.000237926,0.000237926,0.000237926
2,1110.32,2.28857,2.29492,1.1401,0.32033,0.11723,0.08522,0.04095,2.04537,1.86461,1.07963,0.000381693,0.000381693,0.000381693
3,1721.7,2.11387,2.07327,1.09368,0.23777,0.13724,0.10093,0.04925,1.96458,1.73859,1.05334,0.000431212,0.000431212,0.000431212
4,2274.45,2.03619,1.94302,1.06699,0.36905,0.15838,0.11931,0.05973,1.87685,1.64525,1.04403,0.000289884,0.000289884,0.000289884
5,2798.07,1.99818,1.89339,1.05763,0.26654,0.16634,0.12647,0.06472,1.84308,1.59883,1.03315,0.000148512,0.000148512,0.000148512
